id,artist_name,sc_alias
761,Leisure Connection,No Soundcloud Found
762,Terrence Parker,terrence-parker
763,Melchior Productions Ltd,No Soundcloud Found
764,Lawrence,lawrencetheband
765,Vakula,vakula
766,Local Artist,No Soundcloud Found
767,Max Loderbauer,max-loderbauer
768,Tea Time,No Soundcloud Found
769,Azeem,azeem-ward
770,DJ Nori,noriposi
771,KiNK,kink
772,DJ Richard,ioiooioooiooioi
773,Anderson .Paak,andersonpaak
774,Kevin Saunderson,kevinsaunderson
775,DJ Sprinkles,No Soundcloud Found
776,Teflon Dons,No Soundcloud Found
777,Al Zanders,al_zanders
778,Dystopian Artists,dystopianfuturemovies
779,Omar S. Detroit,No Soundcloud Found
780,Dorisburg,alexanderberg
781,Bakey Ustl,bakeyustl
783,Gemini,negativegemini
784,Geeeman,No Soundcloud Found
785,Nimbus Quartet,nimbusnation
786,Hunee,hunee
787,Roy Davis Jr,roydavisjr
788,Peven Everett,No Soundcloud Found
789,Fouk,justsayfouk
790,Shinichiro Yokota,shinichiro-yokota
791,Fathers & Sons Productions,No Soundcloud Found
792,Al Dobson Jr,al-dobson-jr
793,O'Flynn,oflynnmusic
794,Marquis Hawkes,marquis-hawkes
795,Nina Kraviz,nina-kraviz
796,Beth Ditto,bethditto
797,AndrÃ¡s,andrasfox
798,Rick Wilhite,No Soundcloud Found
799,Moodcut,moodcut-1
800,The African Dream,No Soundcloud Found
801,Lana Del Rey,lana-del-rey
802,Map.ache,No Soundcloud Found
803,Edward,edward
804,Blunt Instruments,bluntinstrument
805,Mandar,mandarmusic
806,Vincent Floyd,vincentfloydchicago
807,Martyn,3024world
808,Tin Man,tinman
809,Randomer,randomer
810,Jayda G,jaydagmusic
811,Skudge,skudge-1
812,Margaret Dygas,margaret
813,John Ciafone,x
814,Joey Anderson,joey-anderson
815,Soul Capsule,No Soundcloud Found
816,DJ Grillo Wiener,No Soundcloud Found
817,Arttu,arttu-aka-lump
818,Jerry The Cat,jerryrekonius
819,Tuff City Kids,No Soundcloud Found
820,Raw M.T.,raw_mt
821,Hercules & Love Affair,No Soundcloud Found
822,RÃ©beval,x
823,ROSS 248,ross248
824,Varhat,varhat
825,Gus Gus,gusgus
826,DJ Steaw,dj-steaw
827,S. Moreira,smoreira
828,Dan Shake,danshakemusic
829,Leo Pol,leo-pol
830,Dark Sky,dark-sky
831,Mala,maladmz
832,Classixx,classixx
833,Four Walls,4walls-sound
834,Funkyjaws,funkyjaws
835,Funkinevil,No Soundcloud Found
836,Boe & Zak,No Soundcloud Found
837,Morphosis,rabih
838,Paperclip People,jonahconsidine
839,Maaadddteeoo,madteo
840,FaltyDL,faltydl
841,Move D,move-d
842,I:Cube,i-cube
843,Paul Woolford,paulwoolford
844,Noir,noir
845,Haze,damehaze
846,Jason Grove,jasongrove
847,Deetroit,detroitswindle
848,Steve Summers,confused_house
849,Junktion,junktionmusic
850,Red Rack'em,red-rackem
851,Andy Hart,andyhart
852,Innerspace Halflife,No Soundcloud Found
853,Ike Release,ike_release
854,Byron The Aquarius,byron-the-aquarius
855,E.S.P.,esp-institute
856,Iron Curtis,iron-curtis
857,Quarion,quarion
858,Session Victim,sessionvictim
859,Brian Harden,brian-harden
860,Roman FlÃ_gel,roman-fluegel
861,The Analogue Cops,No Soundcloud Found
862,Ryan Elliott,ryan-elliott
863,DJ Fett Birger,No Soundcloud Found
864,Samo DJ,samo_dj
865,Merle,merlecello
866,Amadou et Mariam,No Soundcloud Found
867,Raresh,No Soundcloud Found
868,Scuba,scubaofficial
869,Lodger,thelodgers
870,Maya Jane Coles,mayajanecoles
871,Gunnar Haslam,gunnar_haslam
872,Acid Jesus,acid-baby-jesus
873,Daywalker + CF,entrosenestre
874,Melchior Communications Ltd.,No Soundcloud Found
875,Family Of Love,traphoodfamily
876,NY Stomp,No Soundcloud Found
877,CC Not,No Soundcloud Found
878,Zed Bias,zedbiasakamaddslinky
879,Paleman,paleman
880,Konstantin Sibold,konstantinsibold
881,Bluntman Deejay,No Soundcloud Found
882,Ejeca,ejeca
883,Omar Odyssey,No Soundcloud Found
884,DJ ShantÃ©,djshante
885,Details I,No Soundcloud Found
886,Tiger & Woods,No Soundcloud Found
887,Mano Le Tough,manoletough
888,Willie Burns,speculator
889,SkatebÃ¥rd,skatebard
890,Walter Gibbons,No Soundcloud Found
891,Deeon,djdeeon
892,HNNY,hnny
893,Steve Moore,stevemoore2600
894,Adesse Versions,adesseversions
895,Telephones,telephones
896,Urban Tribe,urban-tribe-3
897,Schatrax,schatrax
898,Rick Wade,rick-wade
899,Ital,i-t-a-l
900,Och,och-4
901,Don Carlos,sidekick
902,BFZ,bfz
903,Alixkun,alixkun
904,Kode9,kodenine
905,The Spaceape,the-spaceape
906,Factory Floor,factory-floor
907,Luca Lozano,lucalozano
908,FCL,therealfcl
909,PLO Man,plo_sound
910,Roman IV,roman-fluegel
911,Tissu,tttissu
912,FJAAK,fjaak
913,Janeret,janeret
914,Dusky,duskymusic
915,Prince,prince
916,Jordan GCZ,No Soundcloud Found
917,Attitudes in Error,attitudes
918,AU,x
919,Paleo,helsinki-paleo
920,General Ludd,general-ludd
921,Gnork,gnork
922,D'Marc Cantu,dmarccantu
923,The Pilotwings,the-pilotwings
924,Mr. G,No Soundcloud Found
925,Mr KS,mkmrk
926,Paul Kalkbrenner,paulkalkbrenner
927,DA Rebels,freddydarebel
928,WestBam,westbam_soundcloud
929,Nena,nina-kraviz
930,DJ Wave,wavewavewaveee
931,Project Pablo,projectpablo
932,2562,2562amadeupsound
933,Cuthead,cuthead
934,K. Hand,khand
935,NGLY,ngly
936,Gemini Sounds,thisisgemini
937,Cinthie,cinthie
938,Ed Herbst,edherbst
939,Atom Heart,atom-heart-4
940,Svengalisghost,svengalisghost
941,The Mole People,No Soundcloud Found
942,Glenn Astro,glenn-astro
943,Hashman Deejay,hashmandeejay
944,Tuff Sherm,No Soundcloud Found
945,Black Ice Productions,black-ice
946,Union Camp,nimitae
947,Sven Weisemann,svenweisemann
948,Totally Enormous Extinct Dinosaurs,t-e-e-d
949,Maroon 5,maroon-5
950,Nebraska,dj_nebraska
951,Linkwood,linkwood
952,Spacetravel,spacetravel-2
953,Storm Queen,No Soundcloud Found
954,Wil Maddams,wil-maddams
955,Call Super,call-super
956,Hubie Davison,hubie-davison
957,Crue,crue10inch
958,Mosca,deejaymosca
959,Push/Pull,pushpullsound
960,Â¡redream!,No Soundcloud Found
961,Parris Mitchell,victor-parris-mitchell
962,The Bermuda Triangle,bermuda-triangle-1
963,Sleep D,sleepd
964,XI,xi-slashdotdash
965,Syclops,syclops
966,Axel Boman,axelboman
967,Oracy,No Soundcloud Found
968,Esnard Boisdur,No Soundcloud Found
